Acquistion or Disposition,Transaction Date,Deemed Execution Date,Issuer,Form,Transaction Type,Direct or Indirect Ownership,Number of Securities Transacted,Number of Securities Owned,Line Number,Issuer CIK,Security Name,filing_no
A,2021-03-11,,MICROSOFT CORP,4,A-Award,--D,25.0,10929.0,2,789019,Restricted Stock Units,1519339
A,2021-01-29,,MICROSOFT CORP,4,A-Award,--D,350.0,10903.0,2,789019,Restricted Stock Units,1519339
A,2020-12-10,,MICROSOFT CORP,4,A-Award,--D,27.0,10553.0,2,789019,Restricted Stock Units,1519339
A,2020-12-01,,MICROSOFT CORP,4,A-Award,--D,375.0,10525.0,2,789019,Restricted Stock Units,1519339
A,2020-09-10,,MICROSOFT CORP,4,A-Award,--D,25.0,10149.0,2,789019,Restricted Stock Units,1519339
A,2020-09-04,,MICROSOFT CORP,4,A-Award,--D,379.0,10124.0,2,789019,Restricted Stock Units,1519339
A,2020-06-11,,MICROSOFT CORP,4,A-Award,--D,26.0,9745.0,2,789019,Restricted Stock Units,1519339
A,2020-06-04,,MICROSOFT CORP,4,A-Award,--D,444.0,9718.0,2,789019,Restricted Stock Units,1519339
A,2020-03-12,,MICROSOFT CORP,4,A-Award,--D,33.0,9274.0,2,789019,Restricted Stock Units,1519339
A,2020-01-31,,MICROSOFT CORP,4,A-Award,--D,477.0,9240.0,2,789019,Restricted Stock Units,1519339
A,2019-12-12,,MICROSOFT CORP,4,A-Award,--D,29.0,8763.0,2,789019,Restricted Stock Units,1519339
A,2019-12-03,,MICROSOFT CORP,4,A-Award,--D,544.0,8162.0,2,789019,Restricted Stock Units,1519339
A,2019-09-12,,MICROSOFT CORP,4,A-Award,--D,27.0,8189.0,2,789019,Restricted Stock Units,1519339
A,2019-08-29,,MICROSOFT CORP,4,A-Award,--D,599.0,8162.0,2,789019,Restricted Stock Units,1519339
A,2019-06-13,,MICROSOFT CORP,4,A-Award,--D,26.0,7563.0,2,789019,Restricted Stock Units,1519339
A,2019-05-28,,MICROSOFT CORP,4,A-Award,--D,644.0,7537.0,2,789019,Restricted Stock Units,1519339
A,2019-03-14,,MICROSOFT CORP,4,A-Award,--D,27.0,6893.0,2,789019,Restricted Stock Units,1519339
A,2019-01-31,,MICROSOFT CORP,4,A-Award,--D,778.0,6865.0,2,789019,Restricted Stock Units,1519339
A,2018-12-13,,MICROSOFT CORP,4,A-Award,--D,25.0,6087.0,2,789019,Restricted Stock Units,1519339
A,2018-11-27,,MICROSOFT CORP,4,A-Award,--D,758.0,6061.0,2,789019,Restricted Stock Units,1519339
A,2018-09-13,,MICROSOFT CORP,4,A-Award,--D,19.0,5303.0,2,789019,Restricted Stock Units,1519339
A,2018-08-29,,MICROSOFT CORP,4,A-Award,--D,725.0,5283.0,2,789019,Restricted Stock Units,1519339
